"Location";"Source"
"24991438-0-1";"Звичайна монета Тамріелю. Золото приймається торговцями та гравцями в обмін на товари та послуги."
"24991438-0-2";"Форма гонорару, що виплачується за участь у війні альянсів або тренуваннях на полі битви. Ця валюта використовується для придбання облогового обладнання та наборів речей, які допоможуть вам у ваших військових зусиллях."
"24991438-0-3";"Езотеричні фрагменти «Вежі Білого Золота», знайдені під час пригод в оскверненому Імперському місті. Ця валюта використовується для покупки матеріалів та наборів речей в Імперському місті."
"24991438-0-4";"Акредитив від Роліса Глаалу за виконання його майстерних ремісних замовлень, що використовується для його витончених товарів."
"24991438-0-5";"Затравкові кристали потужної трансформаційної енергії, корисні для зміни якості речей."
"24991438-0-8";"Ваучер на одну безплатну зміну вбрання, який можна використати на будь-якій станції зміни вбрання."
"24991438-0-11";"Квиток, який використовується для покупки рідкісних товарів у Імпресаріо, святкового торговця."
"24991438-0-12";"Ключі, отримані за героїчні вчинки на користь Безстрашних."
"24991438-0-13";"Виготовлені з дорогоцінної суміші металів, ці печатки отримують ті, кому притаманний авантюрний дух. Печатки можна обміняти на костюми, їздових звірів та багато-багато іншого."
"24991438-0-14";"Валюта «Безмежного архіву». Скарби архіву приймаються спостерігачами «Безмежного архіву» в обмін на їхні товари."
"24991438-0-18";"Валюта, яку використовують в Імперському Місті."
