"Location";"Source"
"188155806-0-11";"Defeat Akash gra-Mal, Chokethorn, and Canonreeve Oraneth in Elden Hollow I."
"188155806-0-12";"Reach Level 10."
"188155806-0-13";"Reach Level 20."
"188155806-0-14";"Reach Level 30."
"188155806-0-15";"Reach Level 40."
"188155806-0-16";"Reach Level 50."
"188155806-0-17";"Acquire a Superior quality item."
"188155806-0-18";"Acquire an Epic quality item."
"188155806-0-19";"Loot any 10 Treasure Chests."
"188155806-0-20";"Loot any 50 Treasure Chests."
"188155806-0-21";"Loot any 100 Treasure Chests."
"188155806-0-22";"Loot any 1000 Treasure Chests."
"188155806-0-28";"Defeat Faolchu the Changeling and set the city of Camlorn free."
"188155806-0-30";"Help the wyresses remove Angof's corruption from their sacred groves and the Wyrd Tree."
"188155806-0-31";"Stop Angof the Gravesinger's necromantic plan to conquer Glenumbra."
"188155806-0-34";"Complete 53 quests in Glenumbra."
"188155806-0-35";"Wear a full set of Superior, and only Superior, gear."
"188155806-0-36";"Wear a full set of Epic, and only Epic, gear."
"188155806-0-38";"Kill humanoids, Goblin-kin, and giant-kin."
"188155806-0-39";"Kill Daedric creatures from Oblivion."
"188155806-0-40";"Kill Dwarven mechanical constructs."
"188155806-0-41";"Kill a variety of natural creatures in the wilds of Tamriel and beyond."
"188155806-0-42";"Kill skeletons, zombies, ghosts, spirits, and vampires."
"188155806-0-51";"Complete all of the Slayer Achievements."
"188155806-0-52";"Complete 50 Quests.\n\nNote: Repeatable quests only count towards this achievement the first time they are completed."
"188155806-0-53";"Complete 100 Quests.\n\nNote: Repeatable quests only count towards this achievement the first time they are completed."
"188155806-0-54";"Complete 250 Quests.\n\nNote: Repeatable quests only count towards this achievement the first time they are completed."
"188155806-0-55";"Complete 500 Quests.\n\nNote: Repeatable quests only count towards this achievement the first time they are completed."
"188155806-0-56";"Complete 1000 Quests.\n\nNote: Repeatable quests only count towards this achievement the first time they are completed."
"188155806-0-57";"Complete 60 unique quests in Stormhaven."
"188155806-0-58";"Complete 42 unique quests in Rivenspire."
"188155806-0-59";"Complete 42 unique quests in Alik'r Desert."
"188155806-0-60";"Complete 36 unique quests in Bangkorai."
"188155806-0-61";"Complete all Daggerfall Covenant quest achievements."
"188155806-0-64";"Harvest any crafting materials 10 times."
"188155806-0-65";"Harvest any crafting materials 50 times."
"188155806-0-66";"Harvest any crafting materials 100 times."
"188155806-0-67";"Harvest any crafting materials 1000 times."
"188155806-0-68";"Harvest any crafting materials 10000 times."
"188155806-0-78";"Defeat Foreman Llothan, the Hive Lord, and the Sentinel of Rkugamz in Darkshade Caverns I."
"188155806-0-79";"Defeat Investigator Garron, Varain Pellingare and Allene Pellingare in Wayrest Sewers I."
"188155806-0-80";"Defeat Archmaster Siniel, Death's Leviathan, and the Ilambris Twins in Crypt of Hearts I."
"188155806-0-81";"Defeat Valaran Stormcaller, Stormfist, and Stormreeve Neidir in Tempest Island."
"188155806-0-88";"Kill 10 enemy Dragonknights."
"188155806-0-89";"Kill 10 enemy Sorcerers."
"188155806-0-90";"Kill 10 enemy Templars."
"188155806-0-91";"Help capture a resource (farm, lumbermill, or mine) in Cyrodiil."
"188155806-0-92";"Earn your first rank in the Alliance War."
"188155806-0-93";"Earn the rank of Recruit in the Alliance War."
"188155806-0-94";"Earn the rank of Tyro in the Alliance War."
"188155806-0-95";"Earn the rank of Legionary in the Alliance War."
"188155806-0-96";"Earn the rank of Veteran in the Alliance War."
"188155806-0-97";"Earn the rank of Corporal in the Alliance War."
"188155806-0-98";"Earn the rank of Sergeant in the Alliance War."
"188155806-0-99";"Earn the rank of Lieutenant in the Alliance War."
"188155806-0-100";"Earn the rank of Captain in the Alliance War."
"188155806-0-101";"Earn the rank of Major in the Alliance War."
"188155806-0-102";"Earn the rank of Centurion in the Alliance War."
"188155806-0-103";"Earn the rank of Colonel in the Alliance War."
"188155806-0-104";"Earn the rank of Tribune in the Alliance War."
"188155806-0-105";"Earn the rank of Brigadier in the Alliance War."
"188155806-0-106";"Earn the rank of Prefect in the Alliance War."
"188155806-0-107";"Earn the rank of Praetorian in the Alliance War."
"188155806-0-108";"Earn the rank of Palatine in the Alliance War."
"188155806-0-109";"Earn the rank of August Palatine in the Alliance War."
"188155806-0-110";"Earn the rank of Legate in the Alliance War."
"188155806-0-111";"Earn the rank of General in the Alliance War."
"188155806-0-112";"Earn the rank of Warlord in the Alliance War."
"188155806-0-113";"Earn the rank of Grand Warlord in the Alliance War."
"188155806-0-114";"Earn the rank of Overlord in the Alliance War."
"188155806-0-115";"Score a Revenge kill in the Alliance War or Battlegrounds."
"188155806-0-116";"Score 10 Revenge kills in the Alliance War or Battlegrounds."
"188155806-0-117";"Score your first Avenge kill in the Alliance War or Battlegrounds."
"188155806-0-118";"Score 10 Avenge kills in the Alliance War or Battlegrounds."
"188155806-0-119";"Earn a kill when below 5 percent health in the Alliance War or Battlegrounds."
"188155806-0-120";"Earn 5 kills when below 5 percent health in the Alliance War or Battlegrounds."
"188155806-0-121";"Earn 10 kills when below 5 percent health in the Alliance War or Battlegrounds."
"188155806-0-122";"Capture your first keep or outpost in the Alliance War or district in the Imperial City."
"188155806-0-134";"Kill an enemy player of Alliance War rank 50."
"188155806-0-135";"Deal 1,000,000 points of damage to enemies in Cyrodiil."
"188155806-0-136";"Deal 5,000,000 points of damage to enemies in Cyrodiil."
"188155806-0-137";"Deal 100,000,000 points of damage to enemies in Cyrodiil."
"188155806-0-138";"Heal 1,000,000 points of damage to allies in Cyrodiil."
"188155806-0-139";"Heal 5,000,000 points of damage to allies in Cyrodiil."
"188155806-0-140";"Heal 100,000,000 points of damage to allies in Cyrodiil."
"188155806-0-141";"Kill 100 Breton enemies in the Alliance War or Battlegrounds."
"188155806-0-145";"Stop the Reachmen from attacking Evermore."
"188155806-0-146";"Liberate the Bangkorai Garrison from the invaders."
"188155806-0-147";"Rescue High King Emeric from the clutches of Septima Tharn."
"188155806-0-148";"Kill the spriggan Woodblight at Blighted Isle."
"188155806-0-149";"Kill Dayarrus the Xivilai at Arlimahera's Sanctum."
"188155806-0-150";"Kill the frost atronach monarch Nomeg Hyril at Nilata Falls."
"188155806-0-151";"Kill the liches Qumehdi and Zaman at the Telesubi Ruins."
"188155806-0-152";"Kill the summoner Caecilia Attius and her Daedra minions at the Summoner's Camp."
"188155806-0-153";"Destroy the ghost Garach Wolf-Father and his werewolf spirits at Lakewatch Tower."
"188155806-0-154";"Defeat the Omen of the Watchful Eye and lift the paranoia in Alcaire."
"188155806-0-155";"Return the Dream Shard to Pariah Abbey and restore peace to Menevia."
"188155806-0-156";"Defeat the Omen of Counting Stars and end the obsessions plaguing Gavaudon."
"188155806-0-158";"Kill the giant spider, Aesar the Hatespinner, at Aesar's Web."
"188155806-0-159";"Kill the gargoyle, Menhir Stoneskin, at Valeguard Tower."
"188155806-0-160";"Kill the necromancer, Louna Darkblood, at Old Kalgon's Keep."
"188155806-0-161";"Kill the hag, Magdelena, at Magdelena's Haunt."
"188155806-0-162";"Kill the Orc, Stroda gra-Drom, at East-Rock Landing."
"188155806-0-163";"Kill the Nereid, Desuuga the Siren, at Siren's Cove."
"188155806-0-176";"Discover and clear all six caves in Glenumbra."
"188155806-0-177";"Discover and clear all six caves in Stormhaven."
"188155806-0-178";"Discover and clear all six caves in Rivenspire."
"188155806-0-180";"Discover and clear all six caves in Bangkorai."
"188155806-0-181";"Discover and clear all six caves in Stonefalls."
"188155806-0-184";"Destroy the Dominion's ability to create Skin-Stealers."
"188155806-0-185";"Protect the Argonian eggs so a new generation can be born."
"188155806-0-186";"Recover the Mnemic Egg from the Dominion."
"188155806-0-187";"Kill the wamasu champion Haynekhtnamet in its lair."
"188155806-0-188";"Kill the ogre twins Argablog and Vlaga at Xal Thak."
"188155806-0-189";"Kill the Ayleid Mummy Lord Talkynd at Nen Ria."
"188155806-0-190";"Defeat Captain Bones and his undead crew aboard the Captain's ship."
"188155806-0-191";"Kill the Daedroth Urrai at Bitterroot Cave."
