"Location";"Source"
"21337012-0-7";"""За Кодекс Малоха!"" Не треба гадати, скільки разів я чув цю клятву в якійсь похмурій таверні. Знову і знову, якийсь продавець мечів, в якому було занадто багато вогню, викрикував ці слова на все горло. Я збрехав би, якби сказав, що в твердинях орків ці слова не сприймаються як закон. Є мало місць, де досвід підкаже вам, що ""традиції"" і ""старі звичаї"" роблять бійця кращим, але з орками, здається, що залишалися вірним своїм предкам - це шлях до перемоги. \n\nДозвольте мені зробити кілька кроків назад. Твердині орків існують так само довго, як і сама раса орків, принаймні, за їхніми переказами. Твердині орків - це більше, ніж броньовані табори. Це фортеці. Кожен чоловік, жінка і дитина всередині стін від народження навчені захищати їх. Вся їхня зброя і обладунки розбиваються прямо там, у фортеці. Вся їжа добувається воїнами-орками і приноситься назад, щоб її з'їли орки, які там живуть.\n\nОрки не дотримуються жодних законів, окрім своїх власних, неписаних правил, які називаються ""Кодекс Малоха"", названий на честь одного з їхніх богів, якого іноді називають Малакатом. Більшість з них досить прості: не кради, не вбивай і не нападай на людей без причини (хоча, здається, існує великий список винятків). Орки у твердині не мають в'язниць для своїх злочинців. У них є ціна крові. Ти або платиш достатньо товару за свої злочини, або проливаєш достатньо крові, щоб жертва була задоволена. І мені не потрібно говорити вам, що орки мають багато крові. \n\nКодекс також визначає, хто керує твердинею. Вождем зазвичай стає найсильніший самець. Він приймає рішення і вирішує, коли Кодекс Малоха задоволений. Всі жінки є або дружинами вождя, або його дочками, за винятком мудрої жінки, яка займається всіма духовними питаннями і цілительством. Серйозні суперечки вирішуються за допомогою коротких, але жорстоких боїв. Тих, хто не ладнає з вождем, зазвичай виганяють з твердині, щоб вони жили серед нас. Орк виростає, коли йому кажуть боротися за будь-що. Якщо щось не варте того, щоб за нього боротися, то це нижче Кодексу. \n\nОрки у твердині не люблять чужинців, вони звикли жити самі по собі, як вони і живуть до тепер. Ми знаємо про їхні домівки, бо так багато орків покидають твердині, щоб стати торговцями мечами або солдатами, а кілька пінт медовухи завжди змушують їх говорити про дім. Я чув, що іноді, коли орки роблять не-орка ""кровним родичем"", цій людині дозволяється жити у твердині як члену клану. Звичайно, я ніколи не бачив доказів того, що це насправді відбувається. \n\nНезважаючи на всі свої дивні правила і традиції, Кодекс Малоха виховує культуру цілеспрямованих воїнів. Вони зосереджені так, як не зосереджені звичайні торговці мечами. Вони без вагань витягають зброю і вирішують питання відкрито. Я думаю, що в цьому і є справжня різниця між орками фортець і міськими орками. Закон дозволяє залагоджувати бійки за допомогою стражів порядку, але Кодекс Малоха вимагає, щоб ви вирішували свої проблеми самостійно. Це чудовий спосіб мислення, коли ти ведеш життя найманця."
"21337012-0-8";"By Erystera Ligen\n\nThe overlords of the Aldmeri Dominion are hereby put on notice: renounce your ambitions of aggression and return to your islands and jungles, or the wrath of the Daggerfall Covenant shall fall upon you like a hammer of the Divines.\n\nWe are well aware that the Aldmeri plan nothing less than a return to the Elven domination of the other races, particularly Men and Orcs. They wish to overturn the legacies of the First and Second Empires and wipe them from history. This we shall not allow. Never again will free Men and Orcs submit to the tyranny of Elven oppression!\n\nThe arrogant High Elves of Summerset are clearly the driving force behind the Dominion. We of the Covenant have shown, through our acceptance of the Direnni, that we can live with the Elves in peace, but Queen Ayrenn insists on war. Her invasion of the continent of Tamriel is nothing but naked aggression. The Dominion has no territorial rights in Cyrodiil. If the Altmer do not return to Summerset, their invading armies will be destroyed.\n\nThe Wood Elves and the Khajiit have traded with our Iliac Bay kingdoms for ages, but they've made a mistake in allying themselves with the perfidious Altmer of Summerset. Though we of the Covenant wish them no ill will, if they maintain their alliance with the Dominion, they will suffer the same fate at our hands as the High Elves. They must reconsider, or they must face our wrath."
"21337012-0-9";"By Erystera Ligen\n\nRejoice, peoples of northwest Tamriel! Though the rest of Nirn is afflicted by war, madness, and Daedric horror, the glory and honor of the Reman Empire lives on in the Daggerfall Covenant. We remain true to the primacy of trade, the principles of freedom, and worship of the Divines.\n\nIn the face of a world of enemies, the trade powers of the Iliac Bay have formed a powerful alliance. High Rock, Hammerfell, and Orsinium stand as one, united under the rule of the High King in Wayrest. Orc and Breton craftsmanship make the alliance an economic powerhouse, and the military strength of the Orcs and Redguards make us a force to be reckoned with. Our kings join our people in longing for the return of a Tamrielic Empire, along with the economic prosperity that goes with it. There is only one way to make sure the right Emperor rules once more from the Imperial City: we must attend to it ourselves.\n\nThe current so-called ""Empire of Cyrodiil"" is a sham, a twisted mockery of Reman's glorious Second Empire. The charlatans who sit on the Ruby Throne openly mock the Divines and court the Lords of Oblivion, the Enemies of Man. Even the once-promising Emperor Varen fell victim to Daedric corruption, his reforms swept away by the puppet-masters of the Daedric Cabal.\n\nThe Daggerfall Covenant is the only true heir to the principles of the Second Empire. In the name of the Divines, we must conquer Cyrodiil and restore the glory of Reman's legacy. The cancerous Daedra worship that has corrupted Cyrodiil and threatens all Nirn shall be cleansed from Tamriel. We shall found the Tamriel Covenant, that all kingdoms may have a seat at the Grand Council under a new Imperial Dynasty. \n\nForward, soldiers of the Covenant! Freedom for all peoples in the name of the Divines! For a new Empire and a new era of law and justice!"
"21337012-0-11";"Від невідомого ватажка зграї\n\nДехто скаже вам, що наша найбільша сила — це наш голод, або наша кількість, або наша лють, або наші кігті, або наші ікла. Це слова дурнів. Дар Гірсіна стосується не просто зброї, а й захисту. \n\nЩоб полювати у великих мисливських угіддях нашого господаря, ми повинні бути несприйнятливими до болю, майстрами власного тіла. \n\nБагато мисливців на вовкулак шукатимуть вашу шкуру з цієї причини. Вони спробують носити її, або спалять. У будь-якому випадку, це ваша найбільша нагорода, і ви маєте подбати про те, щоб вона не стала занедбаною чи занапащеною.\n\nШуба вовка є ознакою його статусу. Вона несе на собі його шрами і захищає його тіло від пошкоджень. Ставтеся до неї, як дворянин до свого вбрання, адже ви слуги Гірсіна.\n\nЗанадто часто я стикався з дикими вовками з коростявою шерстю. Ви не дикі собаки! Ви не безглузді вовки, у яких немає вибору, окрім як блукати лісами як тварини! Ви — королі серед мисливців!\n\nКоли вас оточать вороги, коли натовп прийде по вас, і ви перетворитеся на себе справжнього, щоб протистояти мечу й серпу, вилам і списам, ви будете мені вдячні. Ваша шуба сяятиме й жахатиме, і жоден удар вам не зашкодить."
"21337012-0-12";"The Daggerfall Covenant is a compact between the peoples of northwest Tamriel—Bretons, Redguards, and Orcs—that forms an alliance of mutual defense, with a vision of establishing peace and order across Tamriel. Indeed, the kings of the Covenant take the Remans as their model, claiming to be the spiritual heirs of the Second Empire.\n\nThe Daggerfall Covenant was born in 2E 542, when the kings of High Rock allied to repulse an invasion by a horde of Reachmen under the command of Durcorach, ""the Black Drake."" Howling out of the eastern mountains, the Reach barbarians razed Evermore, besieged Wayrest, sacked Camlorn, and marched as far as the gates of Daggerfall before the Bretons finally stopped them. In the wake of Durcorach's defeat, the kings of Daggerfall, Wayrest, Camlorn, Evermore, and Shornhelm swore the so-called ""first"" Daggerfall Covenant, a solemn oath to defend each other's kingdoms and stand as one against all foreign foes.\n\nHigh Rock prospered as the Bretons rebuilt, especially after 2E 561, when miners near Wayrest made the biggest orichalcum strike in recorded history. Emeric, Earl of the domain of Cumberland, the site of the mines, proposed to use the resulting wealth to enhance Wayrest's fleet and improve trade throughout High Rock. King Gardner of Wayrest granted his approval, but before the fleet was completed, the dreaded Knahaten Flu swept through Wayrest and killed the entire Gardner royal household. Earl Emeric was elevated to the throne and House Cumberland became the second royal dynasty of Wayrest.\n\nThe new King Emeric of Wayrest had been courting the daughter of King Ranser of Shornhelm, but in 2E 566 he married Princess Maraya of Sentinel. This nearly brought down the first Covenant when Ranser, who felt betrayed, launched a surprise attack on Wayrest. The kings of Camlorn, Evermore, and Daggerfall all sided with Wayrest, and Emeric's superior diplomacy brought the armies of Sentinel into the fray to protect Emeric's queen. Furthermore, Emeric reached out to a great clan of Orcs in Wrothgar and offered them Orsinium in return for aid. Shornhelm was defeated and the Covenant was reborn: not as a mere Breton defensive pact, but as a new, multinational alliance.\n\nThe conclave that negotiated the alliance lasted for months, with argument and debate at every turn. The final result was the child of King Emeric's vision, made manifest in dozens of compromises and carefully negotiated provisions. Freedom of trade was guaranteed throughout the region, and over the objections of the nobles of Rivenspire and the Crown Redguards of Alik'r, the Orcs were accepted as full members of the alliance. Eventually, all the city-states of northwest Tamriel swore fealty to the Covenant's Royal Council, presided over by High King Emeric. As the architect of the alliance, he claimed supreme leadership.\n\nSo this is the modern Daggerfall Covenant, an alliance of the Redguards of northern Hammerfell, under King Fahara'jad; the Orcs of the mountainous northeast, under King Kurog of Orsinium; with the Breton King Emeric of High Rock presiding from his palace in Wayrest. At its best, it is a noble alliance of honorable and chivalrous peoples, representing all the best aspects of the First and Second Empires. And from this solid foundation, perhaps a third, even mightier Empire shall arise, providing all the peoples of Tamriel the benefits of mutual respect, vigorous trade, and reverence for the Divines."
"21337012-0-13";"Орки народилися в останні дні Ери Світанку. Історія помилково назвала їх звірським народом, спорідненим з гоблінськими расами, але насправді орки - діти Трінімака, найсильнішого з духів-пращурів Альтмерів. Коли Трінімак був з'їдений даедричним принцом Боетією і перетворився в нутрощах цього мерзенного бога, орки також були перетворені. Давня назва орків - ""Орсімер"", що означає ""народ вигнанців"". Тепер вони слідують за Малохом, залишками Трінімака.\n\nХто такий Малох?\n\nВін більш відомий як Даедричний Принц Малакат, ""чия сфера - покровительство відкинутих і вигнаних, клятва і криваве прокляття"". Технічно він не є Повелителем Даедри, і інші Даедри не визнають його таким, але це відповідає його сфері. У давнину він був Трінімаком, захисником пантеону вищих ельфів, подекуди більш популярним, ніж Аурі-Ел, який захищав їх від ворогів ззовні та всередині. Коли Трінімак та його послідовники спробували зупинити дисидентський рух Велота, Боетія з'їла його. Тіло і дух Трінімака були зіпсовані, і він став Малакатом. Його послідовники також змінилися на гірше. Зневажені всіма, особливо недоторканним Аурі-Елом, вони швидко втекли до північних пустошей, поблизу Саартхалу. Вони воювали з Нордами та Химерами за місце у світі, але не отримали багато. У Скайримі Малакат називається Орке, або Старий Стукач, і його битви з Ісміром є легендарними.\n\n(ВКАЗІВКА: Ця мерзенна, анти-оркська пропаганда, хоч і традиційна, тепер ЗАБОРОНЕНА в усьому Даггерфольському Ковенаті. Адміністратори: подбайте про це)"
"21337012-0-14";"By Brother Mikhael Karkuxor of the Imperial College\n\nThe Eight:\n\nAkatosh (Dragon God of Time):\nAkatosh is the chief deity of the Eight Divines (the major religious cult of Cyrodiil and its provinces) and one of two deities found in every Tamrielic religion (the other is Lorkhan). He is generally considered to be the first of the gods to form in the Beginning Place. After his establishment, other spirits found the process of being easier, and the various pantheons of the world emerged. He embodies the qualities of endurance, invincibility, and everlasting legitimacy.\n\nKynareth (Goddess of Air):\nKynareth is a member of the Eight Divines, the strongest of the Sky spirits, patron of sailors and travelers. In some legends, she is the first to agree to Lorkhan's plan to invent the mortal plane, and she provides the space for its creation in the void. She is also associated with rain, a phenomenon said not to occur before the removal of Lorkhan's divine spark.\n\nJulianos (God of Wisdom and Logic):\nOften associated with Jhunal, the Nord father of language and mathematics, Julianos is the god of literature, law, history, and contradiction, and the favorite deity of most Breton mages.\n\nDibella (Goddess of Beauty):\nPopular god of the Eight Divines, Dibella has nearly a dozen different cults, some devoted to women, some to artists and aesthetics, and others to erotic instruction.\n\nArkay (God of the Cycle of Life and Death):\nMember of the Eight Divines pantheon and popular elsewhere, as well. Arkay is often more important in those cultures where his father, Akatosh, is either less related to time or where his time aspects are difficult to comprehend by the common folk. He is the god of burials and funeral rites, and is sometimes associated with the seasons. His priests are staunch opponents of necromancy and all forms of the undead. It is said that Arkay did not exist before the world was created by the gods under Lorkhan's supervision/urging/trickery. Therefore, he is sometimes called the Mortals' God.\n\nZenithar (God of Work and Commerce, Trader God):\nMember of the Eight Divines, Zenithar is understandably associated with the Bosmeri Z'en. In High Rock, however, he is a far more cultivated god of merchants, artisans, and the middle nobility. His worshipers say, despite his mysterious origins, Zenithar is the god ""that will always win.""\n\nMara (Goddess of Love):\nNearly universal goddess. Her origins started in mythic times as a fertility goddess; in High Rock, she is the Mother-Goddess. She is sometimes associated with Nir of the ""Anuad,"" the female principle of the cosmos that gave birth to creation. For the Bretons, she is married to Akatosh.\n\nStendarr (God of Mercy):\nGod of the Eight Divines, Stendarr has evolved from his Nord origins into a deity of compassion, or sometimes, righteous rule. Stendarr is the patron of magistrates, rulers, and knights errant.\n\nAdditional Deities with Significant Breton Cults:\n\nMagnus (Magus):\nThe god of sorcery, Magnus withdrew from the creation of the world at the last second, though it cost him dearly. What remains of him is felt and controlled by mortals as magic. One story says that, while the idea was thought up by Lorkhan, it was Magnus who created the schematics and diagrams needed to construct the mortal plane. He is sometimes represented by a golden eye, an astrolabe, a telescope, or more commonly, a staff. Legends say he can inhabit the bodies of powerful magicians and lend them his power.\n\nY'ffre (God of the Forest):\nWhile Akatosh Time Dragon might be the king of the gods, Y'ffre is revered as the spirit of ""the now."" According to the Elves, after the creation of the mortal plane, everything was in chaos. The first mortals were turning into plants and animals and back again. Then Y'ffre transformed himself into the first of the Ehlnofey, or ""Earth Bones."" After the laws of nature were established, mortals had a semblance of safety in the new world, because they could finally understand it.\n\nSheor (Bad Man):\nIn High Rock, the Bad Man is the source of all strife. He seems to have started as the god of crop failure, but most modern theologians agree that he is a demonized version of the Nordic Shor or Aldmeri Lorkhan, born during the dark years after the fall of Saarthal.\n\nPhynaster:\nHero-god who taught the Altmer how to naturally live another hundred years by using a shorter walking stride. Patron deity and ""teacher"" of the Direnni. Often worshiped by those Breton mages who emphasize their Elven blood."
"21337012-0-15";"By Brother Mikhael Karkuxor of the Imperial College\n\nThe Orcs acknowledge the existence of many other gods, but they worship only one:\n\nMalacath, or Mauloch (Orc-Father, The Great Chief):\n\nOrcs revere Mauloch as the First Orc, and live by the Code of Mauloch, which dictates such matters as honor and vengeance.\n\n\nThe Code of Mauloch\n\nThe Code is more often tacit than explicit, but includes the following:\n\n— Respect for forging and blacksmithing.\n— The traditional roles of a clan's chief and his wives.\n— The tradition of selection of a new chief through challenge and combat.\n— The custom that one who commits a crime must pay ""Blood Price"" to the victim (or victim's relatives).\n— The requirement that insults to honor must be avenged.\n— Recognition that to die in combat pleases Mauloch.\n\nThe Cult of Trinimac\n\nMany Orcs believe the origin myth in which the Elven god Trinimac was eaten by Boethiah, and when he was excreted he was transformed into Malacath, and all his followers into Orcs. Those who believe in this Elven origin of Orc-kind often call them ""Orsimer.""\n\nSome Orcs therefore venerate Trinimac as their god-ancestor rather than Malacath. Orcs of the Trinimac cult insist that Trinimac fooled Boethiah into believing he was corrupted by his passage through Boethiah, when in fact he absorbed some of Boethiah's strength and passed it on to his followers. In this way the Orsimer can be seen as ""improved Elves."""
"21337012-0-16";"Attributed to Glargargil the Speaking Oak\n\nIn Elden time, Elven time, Jephre did come,\nA-naming of creatures where'er he did run.\n\nAs all was chaotic, and names were unknown,\nHis gift was a name for each beast, plant, and stone.\n\nThen all knew their places except Men and Mer,\nWho plundered and ravaged wherever they were.\n\n""I name you the Earth-Bones,"" Jephre decreed,\n""Lords of the forest, rock, root, and seed.\n\nThis heritage nurture, henceforth be its guards,\nAnd designate worthies to act as its wards.""\n\nThereafter did Wyrd Women watch o'er the Green,\nFrom tundra to forest, from peak to ravine,\n\nReminding all creatures, be it tiger or worm,\nOf their name and their nature, their function and form.\n\nWould-be corrupters who'd canker the Green,\nShall face wyress warding wherever they're seen.\n\nSo tread woods with caution, respect Jephre's way,\nLest Wyrd women watching abduct you away."
"21337012-0-17";"By Gabrielle Benele, Wizard\n\nAs the official Mages Guild representative to the Lion Guard's efforts to stop the Reachmage known only as Angof the Gravesinger, I have decided to record my findings and speculations in case anything untoward happens to me while I'm out in the field. Who knew that the work of the Mages Guild could be so dangerous or so exciting? Anyway, this is accurate and up to date as of the time that I write this. Anything that turns out to be proven false or revealed at a later date I'll have to deal with in a later volume. Unless I can devise a spell that automatically updates my writing—no, no, I need to focus on one thing at a time!\n\nAngof has a number of associates helping him to complete his plans. I think he calls them ""Minions."" Let's review the ones I suspect to be working with this vile necromancer.\n\nFaolchu, who seems to be associated with were-creatures and has launched an assault on Camlorn, appears to me to be following the orders of a more-powerful individual. I believe that individual to be Angof, but I have no proof of this connection as yet.\n\nThe Bloodthorn Cult obviously has ties to Angof. Whether he leads the cult or is simply a member I haven't yet determined, but I'm positive that the two are connected. The cultists scour the land for relics and items of power, and they seem to count a large number of necromancers as part of their order. I wouldn't be surprised if they had ties to some Daedric Prince or other. Molag Bal, if I had to hazard a guess. \n\nDaedra, too, appear to be arrows in Angof's quiver. He casts them out into the world as a farmer throws seeds into the wind. I'm sure there are more of Angof's minions hiding in plain sight, but anything else I put forth at this point would be beyond pure speculation. Instead, let me turn to what I have discovered about the Reachmage himself.\n\nFirst, he seems to be poisoning the land in some way. The vile vines that grow wherever he has passed demonstrate how his foul magic pollutes the countryside. His very name—Gravesinger—speaks to his fascination and fluency with death magic. Death and decay are his domains, and he seeks power over life and death.\n\nHis followers consider him a strong and persuasive leader. Many of them would literally die to please him. Such devotion isn't healthy, and I find it more than a little scary that someone could have such an effect on people.\n\nAngof seeks to cause as much chaos and mayhem as possible. Beyond that, I'm not sure of his ultimate motives. Has he come to Glenumbra to conquer us or destroy us? And in the end, does that distinction even matter? All I know is, we have to find a way to stop him. We have to!\n\nWell, I'll have to pick this up again at a later date. Now I have to head out and meet up with the Lion Guard at their redoubt near Cath Bedraud. Let's see if I can apply the knowledge that I've gathered to the task at hand."
